order,quantity,depth,height,width,layers,priority
SP703563,5,115,315,4770,7,FALSE
SP703563,5,90,270,4935,6,FALSE
SP703563,10,160,315,5850,7,FALSE
SP703563,5,160,315,6600,7,FALSE
SP703563,5,160,315,6691,7,FALSE
SP703563,5,90,135,2463,3,FALSE
SP703563,5,115,315,9017,7,FALSE
SP703563,14,140,270,4820,6,FALSE
SP703563,5,185,360,5857,8,FALSE
SP703563,5,185,360,6693,8,FALSE
SP703563,5,185,360,5857,8,FALSE
SP703563,5,185,360,6693,8,FALSE
SP703563,5,115,225,2508,5,FALSE
SP703563,5,90,180,2508,4,FALSE
SP703563,8,140,270,948,6,FALSE
SP706182,17,140,315,4460,7,FALSE
SP706182,6,185,540,9200,12,FALSE
SP706182,10,140,315,4560,7,FALSE
SP706182,9,140,315,4460,7,FALSE
SP707443,6,185,225,3617,5,FALSE
SP707443,4,90,225,2100,5,FALSE
SP707443,7,185,225,3519,5,FALSE
SP707443,7,90,135,500,3,FALSE
SP707443,1,185,225,3617,5,FALSE
SP707443,2,185,225,3519,5,FALSE
SP707443,6,185,225,3939,5,FALSE
SP707443,2,185,180,3991,4,FALSE
SP707443,10,185,180,3963,4,FALSE
SP707443,2,185,180,3974,4,FALSE
SP707443,1,115,315,17689,7,FALSE
SP707443,1,115,315,11400,7,FALSE
SP707443,1,115,315,11041,7,FALSE
SP707443,1,115,315,7430,7,FALSE
SP707443,1,115,315,10793,7,FALSE
SP707443,1,140,270,3736,6,FALSE
SP707443,1,115,270,4178,6,FALSE
SP707443,2,90,180,3730,4,FALSE
SP707443,1,90,225,4204,5,FALSE
SP707443,5,90,225,3315,5,FALSE
SP707443,5,90,225,4000,5,FALSE
SP707443,5,90,225,3421,5,FALSE
SP707443,5,90,225,3440,5,FALSE
SP707443,4,90,225,3440,5,FALSE
SP707443,4,90,225,3358,5,FALSE
SP707443,8,90,180,3440,4,FALSE
SP708587,144,90,225,5013,5,FALSE
SP708587,24,140,225,4993,5,FALSE
SP708587,24,90,720,10215,16,FALSE
SP708587,24,90,1215,9981,27,FALSE
SP708587,36,115,135,5013,3,FALSE
SP708587,6,185,225,2357,5,FALSE
SP708587,8,90,180,2258,4,FALSE
SP708587,8,90,225,2144,5,FALSE
SP708587,4,140,225,2528,5,FALSE
SP708587,28,90,180,2548,4,FALSE
SP708587,8,90,180,2431,4,FALSE
SP708587,8,90,225,2339,5,FALSE
SP708587,28,90,225,5513,5,FALSE
SP708587,4,90,225,5495,5,FALSE
SP708587,5,140,225,5495,5,FALSE
SP708587,3,140,270,5331,6,FALSE
SP708587,24,140,180,4779,4,FALSE
SP708587,36,140,315,1048,7,FALSE
SP708587,36,90,225,1780,5,FALSE
SP708588,36,140,225,7586,5,FALSE
SP708588,16,90,225,4336,5,FALSE
SP708588,64,90,225,4363,5,FALSE
SP708588,4,140,225,4336,5,FALSE
SP708588,16,140,225,4363,5,FALSE
SP708588,4,115,315,4650,7,FALSE
SP708588,16,115,315,4600,7,FALSE
SP708588,20,140,225,3324,5,FALSE
SP708588,20,115,225,3324,5,FALSE
SP708588,20,115,180,3324,4,FALSE
SP708588,20,115,90,2500,2,FALSE
SP708588,20,115,90,1100,2,FALSE
SP708588,4,90,450,7677,10,FALSE
SP708588,4,90,450,3394,10,FALSE
SP708588,4,90,90,2881,2,FALSE
SP708588,4,140,90,2938,2,FALSE
SP708588,4,115,225,3618,5,FALSE
SP708588,4,115,225,3905,5,FALSE
SP708588,4,115,225,4190,5,FALSE
SP708588,4,115,225,4520,5,FALSE
