order,depth,width,height,layers,quantity,priority
SP703563,140,948,270,6,8,0
SP703563,140,4820,270,6,14,0
SP706182,140,4460,315,7,26,0
SP706182,140,4560,315,7,10,0
SP707443,140,3736,270,6,1,0
SP708587,140,1048,315,7,36,0
SP708587,140,2528,225,5,4,0
SP708587,140,4779,180,4,24,0
SP708587,140,4993,225,5,24,0
SP708587,140,5331,270,6,3,0
SP708587,140,5495,225,5,5,0
SP708588,140,2938,90,2,4,0
SP708588,140,3324,225,5,20,0
SP708588,140,4336,225,5,4,0
SP708588,140,4363,225,5,16,0
SP708588,140,7586,225,5,36,0
